Exercise_ID	AlignerForm	Original
0001	addi lætur sig alltaf hverfa snemma	Addi lætur sig alltaf hverfa snemma.
0002	afi kemur í kaffi á morgun	Afi kemur í kaffi á morgun.
0003	allir þurfa að fá peninga	Allir þurfa að fá peninga.
0004	allt í lagi segir egill	Allt í lagi, segir Egill.
0005	amma semur rokktónlist	Amma semur rokktónlist.
0006	atli býr á vopnafirði	Atli býr á Vopnafirði.
0007	bankinn er langt í burtu	Bankinn er langt í burtu.
0008	barnið vaknaði í vagninum	Barnið vaknaði í vagninum.
0009	bettý býr í blokk	Bettý býr í blokk.
0010	björk er fræg íslensk söngkona	Björk er fræg íslensk söngkona.
0011	bless í bili	Bless í bili.
0012	bogi býr í kópavogi	Bogi býr í Kópavogi.
0013	bogi hefur áhuga á tónlist	Bogi hefur áhuga á tónlist.
0014	brauð og kornvörur fást í matvörubúðinni	Brauð og kornvörur fást í matvörubúðinni.
0015	bróðir minn er íþróttafréttamaður	Bróðir minn er íþróttafréttamaður.
0016	dragðu setningar á rétta staði	Dragðu setningar á rétta staði.
0017	dísa les mikið	Dísa les mikið.
0018	dóri geir bíður gunnu	Dóri Geir bíður Gunnu.
0019	egilsstaðir eru á austurlandi	Egilsstaðir eru á Austurlandi.
0020	en ég hef aldrei farið til ísraels	En ég hef aldrei farið til Ísraels.
0021	engum hefur tekist að finna gullið	Engum hefur tekist að finna gullið.
EXCL	er það björg eða björg	Er það Björg eða Björg?
0022	er það björg eða björk	Er það Björg eða Björk?
0023	er þetta sími eða spjaldtölva	Er þetta sími eða spjaldtölva?
0024	eruð þið með stærri stærð	Eruð þið með stærri stærð?
0025	eyjafjallajökull sést frá hvolsvelli	Eyjafjallajökull sést frá Hvolsvelli.
0026	farðu úr henni	Farðu úr henni.
0027	fer hún ekki að koma í heimsókn	Fer hún ekki að koma í heimsókn?
0028	fimmvörðuháls er ofan við skógafoss	Fimmvörðuháls er ofan við Skógafoss.
0029	finndu aðra lausn	Finndu aðra lausn.
0030	finnst þér gaman að dansa	Finnst þér gaman að dansa?
0031	finnst þér gaman að veiða fisk	Finnst þér gaman að veiða fisk?
EXCL	flestir bandaríkjamenn borða kalkún á þakkargjörðarhátíðinni	Flestir Bandaríkjamenn borða kalkún á þakkargjörðarhátíðinni.
0032	flúðir er í hrunamannahreppi	Flúðir er í Hrunamannahreppi.
0033	framburðaræfingarnar eru skemmtilegar	Framburðaræfingarnar eru skemmtilegar.
0034	frænka mín fékk hraðasekt á norðurlandi	Frænka mín fékk hraðasekt á Norðurlandi.
0035	frænka mín heitir erla	Frænka mín heitir Erla.
0036	fuglarnir sitja í trjánum	Fuglarnir sitja í trjánum.
0037	fólkið vinnur frá morgni til kvölds	Fólkið vinnur frá morgni til kvölds.
0038	gaman að sjá þig	Gaman að sjá þig.
0039	gjörðu svo vel	Gjörðu svo vel.
0040	gætirðu rétt mér saltið	Gætirðu rétt mér saltið?
0041	góðan dag hvað kostar miðinn	Góðan dag. Hvað kostar miðinn?
0042	góðan dag velkomin á listasafn íslands	Góðan dag. Velkomin á Listasafn Íslands.
0043	góðan og blessaðan daginn maggi minn	Góðan og blessaðan daginn, Maggi minn.
0044	ha fannstu þetta inni í eldhúsi	Ha! Fannstu þetta inni í eldhúsi?
0045	hafið þið talað við þá	Hafið þið talað við þá?
0046	hallgrímur elskar rjómabollur	Hallgrímur elskar rjómabollur.
0047	hann býr á álftanesi	Hann býr á Álftanesi.
0048	hann er fimm árum yngri en hún	Hann er fimm árum yngri en hún.
0049	hann er hugbúnaðarverkfræðingur	Hann er hugbúnaðarverkfræðingur.
0050	hann er með frjótt ímyndunarafl	Hann er með frjótt ímyndunarafl.
0051	hann fer á morgun	Hann fer á morgun.
0052	hann fór frá honum	Hann fór frá honum.
0053	hann heitir hannes	Hann heitir Hannes.
0054	hann talar táknmál	Hann talar táknmál.
0055	hann uppgötvaði nýja reikistjörnu	Hann uppgötvaði nýja reikistjörnu!
0056	hann var prestssonur og ólst upp á norðurlandi	Hann var prestssonur og ólst upp á Norðurlandi.
0057	hann veiddi fisk en þau veiddu humar	Hann veiddi fisk en þau veiddu humar.
0058	hann ætlar að kaupa allar jólagjafirnar	Hann ætlar að kaupa allar jólagjafirnar.
0059	hanna bakar pönnukökur með þeyttum rjóma og jarðarberjamarmelaði	Hanna bakar pönnukökur með þeyttum rjóma og jarðarberjamarmelaði.
0060	hanna bakar pönnukökur með þeyttum rjóma og sultu	Hanna bakar pönnukökur með þeyttum rjóma og sultu.
0061	haustfríið er í október	Haustfríið er í október.
0062	hefurðu nefnt það við hana	Hefurðu nefnt það við hana?
0063	heiða segir góðan daginn	Heiða segir góðan daginn!
0064	hekla er þekkt íslenskt eldfjall	Hekla er þekkt íslenskt eldfjall.
0065	heyriði í mér	Heyriði í mér?
0066	hinkraðu aðeins og syngdu eitt lag enn	Hinkraðu aðeins og syngdu eitt lag enn.
0067	hittumst klukkan hálf sjö	Hittumst klukkan hálf sjö.
0068	hrafnarnir fljúga hátt yfir þorpinu	Hrafnarnir fljúga hátt yfir þorpinu.
0069	hrekkjavaka er gamall írskur siður	Hrekkjavaka er gamall írskur siður.
0070	huginn er í löngu flugi	Huginn er í löngu flugi.
0071	hvar er taskan þín hún er á borðinu	Hvar er taskan þín. Hún er á borðinu
0071	hvar er taskan þín hún er á borðinu	Hvar er taskan þín? Hún er á borðinu.
EXCL	hvar taskan þín hún er á borðinu	Hvar taskan þín? Hún er á borðinu.
0072	hvað er klukkan	Hvað er klukkan?
0073	hvað heitir hún	Hvað heitir hún?
0074	hvað kostar þetta	Hvað kostar þetta?
0075	hvað má bjóða ykkur	Hvað má bjóða ykkur?
0076	hvað sagðirðu við hana	Hvað sagðirðu við hana?
0077	hvaðan ertu	Hvaðan ertu?
0078	hér er enginn banki	Hér er enginn banki!
0079	hér er handklæðið mitt hvar er handklæðið þitt	Hér er handklæðið mitt. Hvar er handklæðið þitt?
0080	hér er líka skemmtilegt að vinna og búa	Hér er líka skemmtilegt að vinna og búa.
0081	hér eru átta flottar blokkir	Hér eru átta flottar blokkir.
0082	hér vinnur margt ungt fólk	Hér vinnur margt ungt fólk.
0083	hún bjó í ungverjalandi þegar hún var ung	Hún bjó í Ungverjalandi þegar hún var ung.
0084	hún borðar ekki á morgnana	Hún borðar ekki á morgnana.
0085	hún er forsætisráðherra íslands	Hún er forsætisráðherra Íslands.
0086	hún fór til hans	Hún fór til hans.
0087	hún heitir hanna	Hún heitir Hanna.
0088	hún stundar nám við háskólann	Hún stundar nám við háskólann.
0089	hún vinnur hjá íslenskri erfðagreiningu	Hún vinnur hjá Íslenskri Erfðagreiningu.
0089	hún vinnur hjá íslenskri erfðagreiningu	Hún vinnur hjá Íslenskri erfðagreiningu.
0090	hún vinnur á landspítalanum	Hún vinnur á Landspítalanum.
0091	já ekkert mál	Já, ekkert mál!
0092	já gjörðu svo vel viltu pipar líka	Já, gjörðu svo vel. Viltu pipar líka?
0093	já og þeir syngja líka vel í dag	Já, og þeir syngja líka vel í dag.
0094	já takk þrjá	Já takk, þrjá.
0095	já við gerum það bless	Já, við gerum það. Bless.
0096	já þetta var nú aðeins betra ha	Já, þetta var nú aðeins betra, ha!
0097	jæja þá er þetta orðið gott förum	Jæja, þá er þetta orðið gott. Förum.
0098	jónas bjó bæði á íslandi og í danmörku	Jónas bjó bæði á Íslandi og í Danmörku.
0099	jónas ferðaðist í nokkur ár um ísland	Jónas ferðaðist í nokkur ár um Ísland.
0100	jónas hallgrímsson bjó til orð	Jónas Hallgrímsson bjó til orð.
0101	jónas hallgrímsson var ljóðskáld	Jónas Hallgrímsson var ljóðskáld.
0102	jónas hallgrímsson var líka þýðandi	Jónas Hallgrímsson var líka þýðandi.
0103	kemurðu á morgun	Kemurðu á morgun?
0104	kisurnar lepja mjólkina	Kisurnar lepja mjólkina.
0105	klukkan fjögur er mikil umferð	Klukkan fjögur er mikil umferð.
0106	klöppum fyrir köttum okkar	Klöppum fyrir köttum okkar!
0107	komdu til mín	Komdu til mín.
0108	komdu á morgun	Komdu á morgun.
0109	konan býr í reykjavík vinur hennar býr á akureyri	Konan býr í Reykjavík. Vinur hennar býr á Akureyri.
0110	kristín borðar danskt rúgbrauð	Kristín borðar danskt rúgbrauð.
0111	kári talar pólsku	Kári talar pólsku.
0112	kæra þóra velkomin til reykjavíkur	Kæra Þóra. Velkomin til Reykjavíkur.
0113	kæri kæra kæru	kæri, kæra, kæru
0114	kæru gestir velkomnir til akureyrar	Kæru gestir! Velkomnir til Akureyrar.
0115	köngulóin söng pönktónlist	Köngulóin söng pönktónlist!
0116	leiðin byrjar við skógafoss	Leiðin byrjar við Skógafoss.
0117	leiðin liggur milli þórsmerkur og landmannalauga	Leiðin liggur milli Þórsmerkur og Landmannalauga.
0118	lest list líst	lest list líst
0119	ljóð hans fjalla oft um íslenska náttúru	Ljóð hans fjalla oft um íslenska náttúru.
0120	loftið er heitt í vaðlaheiðargöngum	Loftið er heitt í Vaðlaheiðargöngum.
0121	lína vilhjálmsdóttir er læknir	Lína Vilhjálmsdóttir er læknir.
0122	lítil kvísl sindraði í sólinni	Lítil kvísl sindraði í sólinni.
0123	lögreglan var kölluð út	Lögreglan var kölluð út.
0124	mig langar að fara til nýjasjálands	Mig langar að fara til Nýja-Sjálands.
0125	munið að taka með handklæði	Munið að taka með handklæði!
0126	myndin verður sýnd á sunnudaginn	Myndin verður sýnd á sunnudaginn.
0127	má ég koma með þér	Má ég koma með þér?
0128	mér fannst þetta bara svo ótrúlega spennandi	Mér fannst þetta bara svo ótrúlega spennandi.
0129	mér finnst gaman að tefla í keflavík	Mér finnst gaman að tefla í Keflavík.
0130	mér finnst hljóðfræði skemmtileg	Mér finnst hljóðfræði skemmtileg.
0131	nei takk	Nei takk.
0132	nei það kom mér svolítið á óvart	Nei! Það kom mér svolítið á óvart!
0133	nemendurnir spurðu margra spurninga	Nemendurnir spurðu margra spurninga.
0134	nonni nennti ekki að fara þangað það var svo langt í burtu	Nonni nennti ekki að fara þangað, það var svo langt í burtu.
0135	nú vissir þú það	Nú, vissir þú það?
0136	okkur vantar marga stóla og margar tölvur	Okkur vantar marga stóla og margar tölvur.
0137	opnaðu ofninn	Opnaðu ofninn!
0138	otti óttast ekki neitt	Otti óttast ekki neitt!
0139	pabbi sá apa í garðinum	Pabbi sá apa í garðinum.
0140	penninn er á borðinu	Penninn er á borðinu.
0141	raufarhöfn er á melrakkasléttu	Raufarhöfn er á Melrakkasléttu.
0142	reykjavík er höfuðborg íslands hún er eina borg landsins	Reykjavík er höfuðborg Íslands. Hún er eina borg landsins.
0143	rigndi hjá ykkur í gær	Rigndi hjá ykkur í gær?
0144	samkvæmt þjóðsögu er gull í skógafossi	Samkvæmt þjóðsögu er gull í Skógafossi.
0145	segðu honum að koma klukkan sjö	Segðu honum að koma klukkan sjö.
EXCL	seljalandsfoss skógafoss og írárfoss	Seljalandsfoss, Skógafoss og Írárfoss.
0146	sjáiði þetta er skógafoss	Sjáiði! Þetta er Skógafoss.
0147	skáld er einhver sem yrkir ljóð	Skáld er einhver sem yrkir ljóð.
0148	skógafoss er neðsti fossinn í skógaá	Skógafoss er neðsti fossinn í Skógaá.
0149	slepptirðu sveppunum	Slepptirðu sveppunum?
0150	snigillinn skreið yfir spegilinn	Snigillinn skreið yfir spegilinn.
0151	snjóaði mikið í apríl	Snjóaði mikið í apríl?
0152	snjórinn er sleipur	Snjórinn er sleipur!
0153	stebbi hlóð niður nýju appi	Stebbi hlóð niður nýju appi.
0154	styttan er af jóni jón er frægur maður	Styttan er af Jóni. Jón er frægur maður.
0155	sungu söngvararnir vel í gær	Sungu söngvararnir vel í gær?
0156	systir mín vinnur í utanríkisráðuneytinu	Systir mín vinnur í Utanríkisráðuneytinu.
0157	síðan förum við aftur í skóna	Síðan förum við aftur í skóna.
0158	takk fyrir og góða skemmtun	Takk fyrir og góða skemmtun.
0159	talaðu við hana	Talaðu við hana.
0160	til allrar hamingju söng hann vel	Til allrar hamingju söng hann vel!
0161	til dæmis aðdráttarafl sjónauki og sporbaugur	Til dæmis: aðdráttarafl, sjónauki og sporbaugur.
0162	tröllaskagi er á norðurlandi	Tröllaskagi er á Norðurlandi.
0163	turninn er fimmtíu metra hár	Turninn er fimmtíu metra hár.
0164	tónlist bjarkar finnst mörgum heillandi	Tónlist Bjarkar finnst mörgum heillandi.
0165	tökum því bara rólega	Tökum því bara rólega.
0166	undir eyjafjöllum eru margir fossar	Undir Eyjafjöllum eru margir fossar.
0167	veistu hvað er langt þangað	Veistu hvað er langt þangað?
0168	velkomnir í bíó	Velkomnir í bíó.
0169	verslunargatan í reykjavík heitir líka laugavegur	Verslunargatan í Reykjavík heitir líka Laugavegur.
0170	verði ykkur að góðu	Verði ykkur að góðu.
0171	verði þér að góðu	Verði þér að góðu.
0172	viljið þið mjólk og sykur	Viljið þið mjólk og sykur?
0173	viljiði elda kjúkling í kvöld	Viljiði elda kjúkling í kvöld?
0174	viljiði koma með mér	Viljiði koma með mér?
0175	viljiði koma með í ísbíltúr	Viljiði koma með í ísbíltúr?
0176	viltu að ég hjálpi honum	Viltu að ég hjálpi honum?
0177	viltu að ég hjálpi þér	Viltu að ég hjálpi þér?
0178	viltu fara í bíó	Viltu fara í bíó?
0179	viltu hjálpa mér	Viltu hjálpa mér?
0180	viltu mjólk í kaffið	Viltu mjólk í kaffið?
0181	viltu poka	Viltu poka?
0182	viltu sýrðan rjóma með tertunni	Viltu sýrðan rjóma með tertunni?
0183	við erum á lækjargötu	Við erum á Lækjargötu.
0184	við förum úr skónum	Við förum úr skónum.
0185	við keyptum nýjan bíl í september	Við keyptum nýjan bíl í september.
0186	við keyptum okkur ferð til egyptalands	Við keyptum okkur ferð til Egyptalands.
0187	við keyrum fimmtán kílómetra	Við keyrum fimmtán kílómetra.
0188	við sendum bréf til englands hvert sendið þið bréf	Við sendum bréf til Englands. Hvert sendið þið bréf?
0189	við spjölluðum lengi í gærkvöldi	Við spjölluðum lengi í gærkvöldi.
0190	við tefldum í fjóra klukkutíma	Við tefldum í fjóra klukkutíma!
0191	við ætlum að fara í nauthólsvík	Við ætlum að fara í Nauthólsvík.
0192	við ætlum að fá tvo latte og eina kökusneið	Við ætlum að fá tvo latte og eina kökusneið.
0193	við ætlum að gera verkefni í hafnarfirði	Við ætlum að gera verkefni í Hafnarfirði.
0194	við ætlum til svartfjallalands næsta sumar	Við ætlum til Svartfjallalands næsta sumar.
0195	á degi íslenskrar tungu eru margir viðburðir	Á degi íslenskrar tungu eru margir viðburðir.
0196	áhugi boga liggur í tónlist	Áhugi Boga liggur í tónlist.
0197	ákveðinn greinir í fleirtölu	Ákveðinn greinir í fleirtölu.
0198	ása er frá akureyri	Ása er frá Akureyri.
0199	æi hættu þessu bara	Æi, hættu þessu bara.
0200	ætlarðu í bankann	Ætlarðu í bankann?
0201	ég bara skil ekki hvað er í gangi	Ég bara skil ekki hvað er í gangi.
0202	ég borða ekki kjöt	Ég borða ekki kjöt.
0203	ég borða köku með rjóma	Ég borða köku með rjóma.
0204	ég er að fara til mömmu	Ég er að fara til mömmu.
0205	ég er frá þýskalandi	Ég er frá Þýskalandi.
0206	ég er glaður þeir eru glaðir þær eru glaðar	Ég er glaður, þeir eru glaðir, þær eru glaðar.
0207	ég fer til parísar í næstu viku	Ég fer til Parísar í næstu viku.
0208	ég fer í fyrramálið	Ég fer í fyrramálið.
0209	ég fer í heita pottinn ferð þú í kalda pottinn	Ég fer í heita pottinn. Ferð þú í kalda pottinn?
0210	ég fer úr peysunni	Ég fer úr peysunni.
0211	ég fylgdi honum heim	Ég fylgdi honum heim.
0212	ég hef ekki sagt það	Ég hef ekki sagt það!
0213	ég hef farið upp esjuna mörgum sinnum	Ég hef farið upp Esjuna mörgum sinnum.
0214	ég hef farið upp í hann tvisvar sinnum	Ég hef farið upp í hann tvisvar sinnum.
0215	ég heyri ekki í ykkur	Ég heyri ekki í ykkur.
0216	ég hlustaði á þá	Ég hlustaði á þá.
0217	ég horfði á hann	Ég horfði á hann.
0218	ég horfði á þrjár myndir	Ég horfði á þrjár myndir.
0219	ég keypti nýjan hvítan flygil	Ég keypti nýjan hvítan flygil.
0220	ég keypti nýjan snjallsíma í gær	Ég keypti nýjan snjallsíma í gær.
0221	ég nefndi það við hana um daginn	Ég nefndi það við hana um daginn.
0222	ég sit á kaffihúsi	Ég sit á kaffihúsi.
0223	ég skil þetta ekki alveg	Ég skil þetta ekki alveg.
0224	ég slökkti á lampanum	Ég slökkti á lampanum.
0225	ég sé þig ekki	Ég sé þig ekki.
0226	ég tala dönsku og frönsku	Ég tala dönsku og frönsku.
0227	ég var hjá henni í marga daga	Ég var hjá henni í marga daga.
0228	ég var lengi á leiðinni heim	Ég var lengi á leiðinni heim.
0229	ég verð að fara núna	Ég verð að fara núna!
0230	ég vökvaði blómin á akranesi	Ég vökvaði blómin á Akranesi.
0231	ég ætla að fara heim	Ég ætla að fara heim.
0232	ég ætla að fara þangað á morgun	Ég ætla að fara þangað á morgun.
0233	ég ætla að fara þangað á morgun með henni höllu	Ég ætla að fara þangað á morgun með henni Höllu.
0234	ég ætla að fá tvo latte með haframjólk	Ég ætla að fá tvo latte með haframjólk.
0235	ég ætla að fá tvo miða	Ég ætla að fá tvo miða.
0236	ég ætla að vera í skotlandi í marga daga jafnvel í margar vikur	Ég ætla að vera í Skotlandi í marga daga, jafnvel í margar vikur.
0237	í dag er mjög kalt úti	Í dag er mjög kalt úti.
0238	í gær lærði ég nýtt lýsingarorð	Í gær lærði ég nýtt lýsingarorð.
0239	í reykjavík eru bæði falleg og ljót hús	Í Reykjavík eru bæði falleg og ljót hús.
0240	þar eru margar búðir	Þar eru margar búðir.
0241	þau fóru á nýjan grænmetisveitingastað	Þau fóru á nýjan grænmetisveitingastað.
0242	þau hafa byggt stórt hús	Þau hafa byggt stórt hús.
0243	þau hrjóta svo hátt að það heyrist gegnum tvennar dyr	Þau hrjóta svo hátt að það heyrist gegnum tvennar dyr!
0244	það er ekkert á milli þeirra	Það er ekkert á milli þeirra.
0245	það er falleg leið sem heitir laugavegur	Það er falleg leið sem heitir Laugavegur.
0246	það er hægt að ganga yfir fimmvörðuháls	Það er hægt að ganga yfir Fimmvörðuháls.
0247	það er langt í bankann	Það er langt í bankann!
0248	það er ljómandi gott	Það er ljómandi gott!
0249	það er partí hjá hrafnhildi um helgina	Það er partí hjá Hrafnhildi um helgina.
0250	það er íslenskt fyrirtæki	Það er íslenskt fyrirtæki.
0251	það eru oftast fimm fingur á einni hendi	Það eru oftast fimm fingur á einni hendi.
0252	það eru sjö sjoppur í þorpinu	Það eru sjö sjoppur í þorpinu!
0253	það skiptir engu máli	Það skiptir engu máli!
0254	það vantar einn stól og eitt borð	Það vantar einn stól og eitt borð.
0255	það var mikið mannlíf í borginni	Það var mikið mannlíf í borginni.
0256	það verða umbreytingar í veðrinu	Það verða umbreytingar í veðrinu.
0257	það vissi ég alls ekki	Það vissi ég alls ekki.
0258	það væri betra ef íbúðin væri stærri	Það væri betra ef íbúðin væri stærri.
0259	þeir eru svartir	Þeir eru svartir.
0260	þeir fóru til edinborgar	Þeir fóru til Edinborgar.
0261	þessi orðræða er orðin þreytt	Þessi orðræða er orðin þreytt!
0262	þessir fossar eru allir mjög fallegir	Þessir fossar eru allir mjög fallegir.
0263	þetta er gömul stytta styttan er í reykjavík	Þetta er gömul stytta. Styttan er í Reykjavík.
0264	þetta er spennandi saga	Þetta er spennandi saga.
0265	þetta er taskan mín er þetta taskan þín	Þetta er taskan mín. Er þetta taskan þín?
0266	þetta hús er hvítt ég bý í hvítu húsi	Þetta hús er hvítt. Ég bý í hvítu húsi.
0267	þorpið er ekki svo stórt	Þorpið er ekki svo stórt.
0268	þátíð veikra og sterkra sagna	Þátíð veikra og sterkra sagna.
0269	þær bjuggu í parís í mörg ár	Þær bjuggu í París í mörg ár.
0270	þú fórst frá mér	Þú fórst frá mér.
0271	þú verður að fara í svörtu úlpuna	Þú verður að fara í svörtu úlpuna.
